nom,adresse,code_postal,latitude,longitude,region_source,source
SG SMC,"10 PL CASTELLANE, 13006 MARSEILLE",13006.0,43.2860796,5.3831567,agences-bouches-du-rhone-13,BNP
SG SMC,"129 BD F. DUPARC, 13004 MARSEILLE",13004.0,43.3085823,5.3999586,agences-bouches-du-rhone-13,BNP
SG SMC,"180 BD DE LA LIBERATION, 13004 MARSEILLE",13004.0,43.3015579,5.392895,agences-bouches-du-rhone-13,BNP
SG SMC,"60 AV DE LA CORSE, 13007 MARSEILLE",13007.0,43.2890333,5.3608641,agences-bouches-du-rhone-13,BNP
SG SMC,"6 PL ERNEST DELIBES, 13008 MARSEILLE",13008.0,43.2788516,5.3827481,agences-bouches-du-rhone-13,BNP
SG SMC,"118 RUE DE LA REPUBLIQUE, 13002 MARSEILLE",13002.0,43.3044924,5.367607,agences-bouches-du-rhone-13,BNP
SG SMC,"205 RTE DES TROIS LUCS, 13011 MARSEILLE",13011.0,43.3038741,5.4743782,agences-bouches-du-rhone-13,BNP
SG SMC,"109 RUE EMILE ZOLA, 13009 MARSEILLE",13009.0,43.2467935,5.4022116,agences-bouches-du-rhone-13,BNP
SG SMC,"501 RUE PARADIS, 13008 MARSEILLE",13008.0,43.2712836,5.386278,agences-bouches-du-rhone-13,BNP
SG SMC,"75 RUE PARADIS, 13006 MARSEILLE",13006.0,43.2909117,5.3779311,agences-bouches-du-rhone-13,BNP
SG SMC,"305 AV DU PRADO, 13008 MARSEILLE",13008.0,43.2718077,5.3906694,agences-bouches-du-rhone-13,BNP
SG SMC,"101 RUE MONTAIGNE, 13012 MARSEILLE",13012.0,43.3039103,5.4165982,agences-bouches-du-rhone-13,BNP
SG SMC,"147 AV 24 AVRIL 1915, 13012 MARSEILLE",13012.0,43.3086205,5.4282661,agences-bouches-du-rhone-13,BNP
SG SMC,"85 BD DE SAINT-LOUP, 13010 MARSEILLE",13010.0,43.2831642,5.4328916,agences-bouches-du-rhone-13,BNP
SG SMC,"111 CHE DE CH GOMBERT, 13013 MARSEILLE",13013.0,43.3359706,5.4291958,agences-bouches-du-rhone-13,BNP
SG SMC,"325 AV DE MAZARGUES, 13008 MARSEILLE",13008.0,43.2675787,5.3893081,agences-bouches-du-rhone-13,BNP
SG SMC,"9 PL SEBASTOPOL, 13004 MARSEILLE",13004.0,43.2995058,5.3977893,agences-bouches-du-rhone-13,BNP
SG SMC,"41 RUE D'ENDOUME, 13007 MARSEILLE",13007.0,43.2894738,5.3664806,agences-bouches-du-rhone-13,BNP
SG SMC,"36 BD STE MARGUERITE, 13009 MARSEILLE",13009.0,43.2661553,5.4044535,agences-bouches-du-rhone-13,BNP
SG SMC,"56 QU GENERAL LECLERC, 13500 MARTIGUES",13500.0,43.4030329,5.0573999,agences-bouches-du-rhone-13,BNP
SG SMC,"32 AV CH. DE GAULLE, 13140 MIRAMAS",13140.0,43.5843465,5.0175599,agences-bouches-du-rhone-13,BNP
SG SMC,"RTE DEPARTEMENTAL 572, 13330 PELISSANNE",13330.0,43.6254866,5.1823878,agences-bouches-du-rhone-13,BNP
SG SMC,"RTE DE TRETS RD6, 13790 PEYNIER",13790.0,43.4574399,5.6267037,agences-bouches-du-rhone-13,BNP
SG SMC,"CTRE CIAL BARNEOUD, 13170 LES PENNES MIRABEAU",13170.0,43.4006783,5.3043153,agences-bouches-du-rhone-13,BNP
